Caso;Monto;Año;Responsable;Sector;Partido;Año inicio;Año fin;Comuna;Posición;Beneficiado;Perjudicado;Objetivo;Fundación;Delitos;Estado;Sentencia;Condena;Conclusión;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5
Caso Puerto Coronel;68.000.000;2024;Boris Chamorro, Eduardo Araya;Izquierda;PS;2021;2024;Coronel;Alcalde;;;;;cohecho, soborno;;;;;https://www.canal9.cl/episodios/noticias/2024/07/26/alcalde-de-coronel-y-concejal-araya-seran-formalizados-por-caso-puerto-coronel;https://www.cooperativa.cl/noticias/pais/region-del-biobio/formalizaran-por-delitos-de-corrupcion-al-alcalde-de-coronel-y-a-otras/2024-07-26/084551.html;https://www.meganoticias.cl/nacional/459252-querella-alcalde-coronel-boris-chamorro-cohecho-pago-coimas-17-09-2024.html;https://sabes.cl/2024/09/17/cde-se-suma-al-caso-puerto-coronel-se-querella-contra-alcalde-boris-chamorro-por-delitos-ligados-a-corrupcion/;
Caso Penta (Pablo Wagner);66.000.000;2018;Pablo Wagner;Derecha;UDI;;;;Subsecretario;;;;;Delitos tributarios, enriquecimiento ilícito;;;;;https://www.latercera.com/politica/noticia/caso-penta-ex-subsecretario-pablo-wagner-condenado-delitos-tributarios-absuelto-cohecho/233126/;;;;
Alcalde de Las Condes (Joaquín Lavín);59.595.096;2020;Joaquín Lavín Infante;Derecha;UDI;;;Las Condes;Alcalde;;;;;;;;;;https://www.elciudadano.com/politica/los-18-emblematicos-alcaldes-corruptos-de-la-derecha-historias-de-un-tsunami-delictual/06/22/;;;;
Caso Cuentas Corrientes, Municipalidad de San Javier;53.950.000;2024;Jorge Silva;Centro;PDC;2020;2023;San Javier;Municipio;;;;;;;;;;https://www.latercera.com/nacional/noticia/contraloria-detecta-dos-nuevos-municipios-involucrados-en-el-caso-cuentas-corrientes-y-deriva-antecedentes-a-la-fiscalia/5C3ZRUU3WFF4BFYSN4BG4GD7QE/;;;;
Caso Ceresita;40.000.000;1993;;Ninguno;;1993;2013;Recoleta;Privado;;;;;;;;;;https://www.chiletransparente.cl/caso-ceresita/;;;;
Alcalde de San Fernando (Juan Paulo Molina);37.550.000;2023;Juan Paulo Molina;Centro;DC;2018;2021;San Fernando;Alcalde;;;;;fraude al fisco reiterado;;;;;https://www.diarioviregion.cl/index.php/noticias/27551-ex-alcalde-de-san-fernando-juan-paulo-molina-condenado-por-fraude-al-fisco-reiterado;;;;
Caso Coimas;35.000.000;2002;Patricio Tombolini;Izquierda;PR, DC;;;;;;;;;cohecho;;;;presidio;https://www.biobiochile.cl/noticias/2015/01/24/cinco-casos-de-corrupcion-que-mancharon-la-politica-antes-de-penta-en-los-ultimos-15-anos.shtml;https://es.wikipedia.org/wiki/Caso_Coimas;;;
Ex alcalde de La Pintana (Jaime Pavez);35.000.000;2016;Jaime Pavez;Centro;PPD;;2016;;;;;;;malversación de caudales públicos por distracción;;;Suspensión del cargo, pago de multa;condena;https://www.cooperativa.cl/noticias/pais/judicial/denuncias-de-corrupcion/jaime-pavez-exalcalde-de-la-pintana-fue-condenado-por-malversacion/2023-09-15/182511.html;;;;
Alcaldesa de Providencia (Josefa Errázuriz);31.000.000;2019;Josefa Errázuriz;Izquierda;PPD;2017;2019;Providencia;Alcalde;;Municipio;;;Pago de horas extra;Responsable pero sin condena;Sí;No;Sin condena por prescripción;https://www.latercera.com/reportajes/noticia/la-excesiva-demora-contraloria-salvo-josefa-errazuriz/613135/;;;;
Claudia Nogueira ;30.000.000;2009;Claudia Nogueira ;Derecha;UDI;2009;;;Diputado;;;;;;;;;;https://www.ciperchile.cl/2009/06/12/fiscalia-decide-formalizar-a-diputada-nogueira-e-investiga-pagos-de-la-camara-a-asesores/;;;;
